filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_numjobs-bw=34_write.json,numjobs-bw,write,64k,34,0.0,87.18,0.0,5448.49,0.0,0.0,24543.68,73924.61,4.95,5.98,10.93
test_numjobs-bw=35_read.json,numjobs-bw,read,64k,35,126.51,0.0,7906.59,0.0,17433.94,78118.91,0.0,0.0,1.47,8.58,10.05
test_numjobs-bw=35_write.json,numjobs-bw,write,64k,35,0.0,87.21,0.0,5450.63,0.0,0.0,25262.1,66846.72,4.78,5.82,10.61
test_numjobs-bw=36_read.json,numjobs-bw,read,64k,36,125.97,0.0,7873.08,0.0,17997.59,73924.61,0.0,0.0,1.36,8.3,9.66
test_numjobs-bw=36_write.json,numjobs-bw,write,64k,36,0.0,87.1,0.0,5443.9,0.0,0.0,26032.34,79167.49,4.57,5.73,10.3
test_numjobs-bw=37_read.json,numjobs-bw,read,64k,37,128.12,0.0,8007.73,0.0,18184.43,78118.91,0.0,0.0,1.25,8.21,9.46
test_numjobs-bw=37_write.json,numjobs-bw,write,64k,37,0.0,87.37,0.0,5460.46,0.0,0.0,26656.79,79167.49,4.49,5.56,10.05
test_numjobs-bw=38_read.json,numjobs-bw,read,64k,38,128.55,0.0,8034.54,0.0,18616.94,85458.94,0.0,0.0,1.21,7.98,9.18
test_numjobs-bw=38_write.json,numjobs-bw,write,64k,38,0.0,87.77,0.0,5485.72,0.0,0.0,27260.65,82313.22,4.36,5.43,9.79
test_numjobs-bw=39_read.json,numjobs-bw,read,64k,39,128.38,0.0,8023.68,0.0,19142.43,81264.64,0.0,0.0,1.18,7.79,8.96
test_numjobs-bw=39_write.json,numjobs-bw,write,64k,39,0.0,87.28,0.0,5454.9,0.0,0.0,28128.53,86507.52,4.31,5.24,9.55
test_numjobs-bw=40_read.json,numjobs-bw,read,64k,40,126.84,0.0,7927.8,0.0,19863.02,85458.94,0.0,0.0,1.15,7.62,8.77
test_numjobs-bw=40_write.json,numjobs-bw,write,64k,40,0.0,87.69,0.0,5480.5,0.0,0.0,28713.78,82313.22,4.14,5.11,9.25
