filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_nbcpu=11_randwrite.json,nbcpu,randwrite,4k,11,0.0,848.72,0.0,3315.31,0.0,0.0,742.74,1318.91,11.18,54.9,66.08
test_nbcpu=12_randread.json,nbcpu,randread,4k,12,1086.65,0.0,4244.72,0.0,638.32,1466.37,0.0,0.0,13.46,43.1,56.55
test_nbcpu=12_randwrite.json,nbcpu,randwrite,4k,12,0.0,1080.96,0.0,4222.51,0.0,0.0,641.7,1646.59,14.07,43.65,57.71
test_nbcpu=13_randread.json,nbcpu,randread,4k,13,1085.7,0.0,4241.02,0.0,696.99,1417.22,0.0,0.0,13.7,42.46,56.16
test_nbcpu=13_randwrite.json,nbcpu,randwrite,4k,13,0.0,1075.22,0.0,4200.07,0.0,0.0,703.76,1744.9,14.29,43.07,57.36
test_nbcpu=14_randread.json,nbcpu,randread,4k,14,1085.17,0.0,4238.95,0.0,755.45,1548.29,0.0,0.0,14.17,42.82,56.99
test_nbcpu=14_randwrite.json,nbcpu,randwrite,4k,14,0.0,1075.37,0.0,4200.68,0.0,0.0,762.16,1810.43,14.59,43.64,58.24
test_nbcpu=15_randread.json,nbcpu,randread,4k,15,1077.54,0.0,4209.12,0.0,819.37,1548.29,0.0,0.0,14.37,42.94,57.31
test_nbcpu=15_randwrite.json,nbcpu,randwrite,4k,15,0.0,1068.61,0.0,4174.26,0.0,0.0,825.85,1859.58,14.83,43.73,58.55
test_nbcpu=16_randread.json,nbcpu,randread,4k,16,1065.9,0.0,4163.68,0.0,887.47,1564.67,0.0,0.0,14.55,42.68,57.24
test_nbcpu=16_randwrite.json,nbcpu,randwrite,4k,16,0.0,1059.97,0.0,4140.52,0.0,0.0,892.35,1974.27,15.02,43.57,58.59
test_nbcpu=17_randread.json,nbcpu,randread,4k,17,1066.44,0.0,4165.77,0.0,946.12,1662.98,0.0,0.0,14.15,42.13,56.29
test_nbcpu=17_randwrite.json,nbcpu,randwrite,4k,17,0.0,1059.09,0.0,4137.06,0.0,0.0,952.38,1384.45,10.23,52.57,62.8
test_nbcpu=18_randread.json,nbcpu,randread,4k,18,1068.91,0.0,4175.44,0.0,1002.87,1679.36,0.0,0.0,13.64,40.42,54.07
